,date,pce,pop,psavert,uempmed,unemploy
161,10/31/80,1833,228612,10.9,7.7,8023
162,11/30/80,1858.3,228779,10.7,7.5,7718
163,12/31/80,1877.7,228937,9.9,7.4,8071
164,1/31/81,1892.2,229071,9.8,7.1,8051
165,2/28/81,1911.3,229224,9.7,7.1,7982
166,3/31/81,1912.6,229403,9.8,7.4,7869
167,4/30/81,1921.7,229575,10,6.9,8174
168,5/31/81,1942.3,229761,9.9,6.6,8098
169,6/30/81,1949.6,229966,11.4,7.1,7863
170,7/31/81,1973.7,230187,11.2,7.2,8036
171,8/31/81,1972.1,230412,11.7,6.8,8230
172,9/30/81,1970,230641,12.5,6.8,8646
173,10/31/81,1976,230822,12.5,6.9,9029
174,11/30/81,1993.6,230989,11.7,6.9,9267
175,12/31/81,2001.1,231157,11.9,7.1,9397
176,1/31/82,2024.9,231313,11.3,7.5,9705
177,2/28/82,2028.1,231470,11.5,7.7,9895
178,3/31/82,2030.5,231645,12.2,8.1,10244
179,4/30/82,2049.3,231809,11.6,8.5,10335
180,5/31/82,2053.5,231992,11.5,9.5,10538
181,6/30/82,2078.3,232188,11.9,8.5,10849
182,7/31/82,2086.9,232392,11.7,8.7,10881
183,8/31/82,2112,232599,10.8,9.5,11217
184,9/30/82,2133.8,232816,10.3,9.7,11529
185,10/31/82,2158.1,232993,9.9,10,11938
186,11/30/82,2170.8,233160,9.7,10.2,12051
187,12/31/82,2183.6,233322,9.9,11.1,11534
188,1/31/83,2186.5,233473,10,9.8,11545
189,2/28/83,2212.2,233613,9.5,10.4,11408
190,3/31/83,2235.3,233781,9.1,10.9,11268
191,4/30/83,2254.7,233922,8.9,12.3,11154
192,5/31/83,2284.7,234118,8.1,11.3,11246
193,6/30/83,2313.2,234307,8.6,10.1,10548
194,7/31/83,2329.2,234501,8,9.3,10623
195,8/31/83,2343.4,234701,8.5,9.3,10282
196,9/30/83,2366.2,234907,8.6,9.4,9887
197,10/31/83,2375,235078,9.2,9.3,9499
198,11/30/83,2402.7,235235,9.1,8.7,9331
199,12/31/83,2428.6,235385,9.4,9.1,9008
200,1/31/84,2412.8,235527,10.8,8.3,8791
201,2/29/84,2441.3,235675,10.6,8.3,8746
202,3/31/84,2467.6,235839,10.8,8.2,8762
203,4/30/84,2485,235993,10.5,9.1,8456
204,5/31/84,2506.5,236160,10.6,7.5,8226
205,6/30/84,2505.7,236348,11.4,7.5,8537
206,7/31/84,2523.8,236549,11.3,7.3,8519
207,8/31/84,2545.4,236760,11.2,7.6,8367
208,9/30/84,2543.6,236976,11.4,7.2,8381
209,10/31/84,2584,237159,10.6,7.2,8198
210,11/30/84,2595.3,237316,11,7.3,8358
211,12/31/84,2629.6,237468,10.3,6.8,8423
212,1/31/85,2650.5,237602,9.1,7.1,8321
213,2/28/85,2657.1,237732,8.7,7.1,8339
214,3/31/85,2668.8,237900,10.1,6.9,8395
215,4/30/85,2705,238074,11.1,6.9,8302
216,5/31/85,2696.4,238270,9.5,6.6,8460
217,6/30/85,2720.5,238466,8.9,6.9,8513
218,7/31/85,2756,238679,8,7.1,8196
219,8/31/85,2799.7,238898,6.8,6.9,8248
220,9/30/85,2762.3,239113,8.9,7.1,8298
221,10/31/85,2778.7,239307,8.5,7,8128
222,11/30/85,2819.1,239477,8.3,6.8,8138
223,12/31/85,2833.5,239638,8.2,6.7,7795
224,1/31/86,2826.7,239788,8.9,6.9,8402
225,2/28/86,2830.7,239928,9.5,6.8,8383
226,3/31/86,2843.8,240094,9.1,6.7,8364
227,4/30/86,2867.8,240271,8.7,6.8,8439
228,5/31/86,2874.2,240459,8.9,7,8508
229,6/30/86,2895.9,240651,8.6,6.9,8319
230,7/31/86,2914.8,240854,8.3,7.1,8135
231,8/31/86,2989.8,241068,6.4,7.4,8310
232,9/30/86,2951.6,241274,7.5,7,8243
233,10/31/86,2948.5,241467,8.1,7.1,8159
234,11/30/86,3019.5,241620,5.9,7.1,7883
235,12/31/86,2959.7,241784,8.8,6.9,7892
236,1/31/87,3026.7,241930,7.6,6.6,7865
237,2/28/87,3037.6,242079,7.7,6.6,7862
238,3/31/87,3061.2,242252,3.5,7.1,7542
239,4/30/87,3070.1,242423,7.2,6.6,7574
240,5/31/87,3094.8,242608,6.7,6.5,7398
241,6/30/87,3118.2,242804,6.5,6.5,7268
242,7/31/87,3155.2,243012,6.2,6.4,7261
243,8/31/87,3151.3,243223,6.7,6,7102
244,9/30/87,3159.6,243446,7.4,6.3,7227
245,10/31/87,3169.3,243639,7.6,6.2,7035
246,11/30/87,3199,243809,7.7,6,6936
247,12/31/87,3238.6,243981,7,6.2,6953
248,1/31/88,3246.2,244131,7.5,6.3,6929
249,2/29/88,3285.5,244279,7.2,6.4,6876
250,3/31/88,3288,244445,7.6,5.9,6601
251,4/30/88,3318.5,244610,7.2,5.9,6779
252,5/31/88,3342.7,244806,7.3,5.8,6546
253,6/30/88,3365.6,245021,7.5,6.1,6605
254,7/31/88,3390,245240,7.2,5.9,6843
255,8/31/88,3396.6,245464,7.5,5.7,6604
256,9/30/88,3436.3,245693,7.2,5.6,6568
257,10/31/88,3452.4,245884,7,5.7,6537
258,11/30/88,3482.8,246056,7.2,5.9,6518
259,12/31/88,3505.3,246224,7.6,5.6,6682
260,1/31/89,3509.3,246378,7.9,5.4,6359
261,2/28/89,3519.3,246530,8.3,5.4,6205
262,3/31/89,3563.2,246721,7.3,5.4,6468
263,4/30/89,3571.8,246906,7,5.3,6375
264,5/31/89,3586.7,247114,7.1,5.4,6577
265,6/30/89,3606.4,247342,7.1,5.6,6495
266,7/31/89,3642.2,247573,6.4,5,6511
267,8/31/89,3644.2,247816,6.6,4.9,6590
268,9/30/89,3657,248067,6.8,4.9,6630
269,10/31/89,3667.6,248281,7.2,4.8,6725
270,11/30/89,3708.9,248479,6.5,4.9,6667
271,12/31/89,3754.5,248659,6.6,5.1,6752
272,1/31/90,3752.2,248827,7.3,5.3,6651
273,2/28/90,3781,249012,7,5.1,6598
274,3/31/90,3800.5,249306,7.3,4.8,6797
275,4/30/90,3808.6,249565,7.2,5.2,6742
276,5/31/90,3838.5,249849,7.1,5.2,6590
277,6/30/90,3855.1,250132,7.2,5.4,6922
278,7/31/90,3881,250439,6.7,5.4,7188
279,8/31/90,3902.7,250751,6.7,5.6,7368
280,9/30/90,3902.9,251057,6.6,5.8,7459
281,10/31/90,3905.6,251346,6.7,5.7,7764
282,11/30/90,3896.6,251626,7.3,5.9,7901
283,12/31/90,3879.3,251889,7.9,6,8015
284,1/31/91,3907.7,252135,7.5,6.2,8265
285,2/28/91,3955.6,252372,6.6,6.7,8586
286,3/31/91,3950.5,252643,7.1,6.6,8439
287,4/30/91,3976.8,252913,6.9,6.4,8736
288,5/31/91,3983.6,253207,7.4,6.9,8692
289,6/30/91,4008.4,253493,6.8,7,8586
290,7/31/91,4011.3,253807,7,7.3,8666
291,8/31/91,4027.3,254126,7.2,6.8,8722
292,9/30/91,4020.1,254435,7.5,7.2,8842
293,10/31/91,4048.2,254718,7.3,7.5,8931
294,11/30/91,4064,254964,7.9,7.8,9198
295,12/31/91,4128.2,255214,7.4,8.1,9283
296,1/31/92,4141.8,255448,7.9,8.2,9454
297,2/29/92,4157.6,255703,7.9,8.3,9460
298,3/31/92,4169.8,255992,8,8.5,9415
299,4/30/92,4195.5,256285,7.9,8.8,9744
300,5/31/92,4213.8,256589,7.8,8.7,10040
301,6/30/92,4241.8,256894,7.5,8.6,9850
302,7/31/92,4258.8,257232,7.6,8.8,9787
303,8/31/92,4292.5,257548,6.9,8.6,9781
304,9/30/92,4320.2,257861,7.1,9,9398
305,10/31/92,4334.3,258147,7,9,9565
306,11/30/92,4368.8,258413,9.4,9.3,9557
307,12/31/92,4371.5,258679,5.8,8.6,9325
308,1/31/93,4385,258919,5.6,8.5,9183
309,2/28/93,4381.5,259152,5.6,8.5,9056
310,3/31/93,4422.5,259414,6.4,8.4,9110
311,4/30/93,4450.9,259680,6.3,8.1,9149
312,5/31/93,4466.7,259963,5.9,8.3,9121
313,6/30/93,4493.8,260255,5.4,8.2,8930
314,7/31/93,4504.3,260566,5.6,8.2,8763
315,8/31/93,4534,260867,5,8.3,8714
316,9/30/93,4554.8,261163,5,8,8750
317,10/31/93,4575.9,261425,5,8.3,8542
318,11/30/93,4593.9,261674,7.6,8.3,8477
319,12/31/93,4608.5,261919,4,8.6,8630
320,1/31/94,4655.7,262123,3.9,9.2,8583
321,2/28/94,4667.5,262352,4.3,9.3,8470
322,3/31/94,4690.3,262631,4.2,9.1,8331
323,4/30/94,4688.3,262877,5.8,9.2,7915
324,5/31/94,4729.9,263152,5.1,9.3,7927
325,6/30/94,4745.4,263436,5.1,9,7946
326,7/31/94,4789.2,263724,4.7,8.9,7933
327,8/31/94,4801.2,264017,5,9.2,7734
328,9/30/94,4836.2,264301,5.3,10,7632
329,10/31/94,4846.5,264559,5.2,9,7375
330,11/30/94,4860.9,264804,5.3,8.7,7230
331,12/31/94,4869.3,265044,5.6,8,7375
332,1/31/95,4867.4,265270,5.9,8.1,7187
333,2/28/95,4900.5,265495,5.5,8.3,7153
334,3/31/95,4904.2,265755,4.8,8.3,7645
335,4/30/95,4946.1,265998,4.9,9.1,7430
336,5/31/95,4989.8,266270,4.4,7.9,7427
337,6/30/95,4982.7,266557,4.6,8.5,7527
338,7/31/95,5018,266843,4.1,8.3,7484
339,8/31/95,5032.5,267152,4.1,7.9,7478
340,9/30/95,5024.5,267456,4.4,8.2,7328
341,10/31/95,5065.8,267715,3.9,8,7426
342,11/30/95,5108.8,267943,3.6,8.3,7423
343,12/31/95,5098,268151,4.2,8.3,7491
344,1/31/96,5145.2,268364,4.3,7.8,7313
345,2/29/96,5185.1,268595,4.2,8.3,7318
346,3/31/96,5219.6,268853,3.1,8.6,7415
347,4/30/96,5234.8,269108,4.1,8.6,7423
348,5/31/96,5241.6,269386,4.5,8.3,7095
349,6/30/96,5263.6,269667,4.1,8.3,7337
350,7/31/96,5287.5,269976,4.1,8.4,6882
351,8/31/96,5308.2,270284,4.1,8.5,6979
352,9/30/96,5340.1,270581,3.8,8.3,7031
353,10/31/96,5365.5,270878,3.8,7.7,7236
354,11/30/96,5392.7,271125,3.8,7.8,7253
355,12/31/96,5419.9,271360,3.7,7.8,7158
356,1/31/97,5453.9,271585,3.5,8.1,7102
357,2/28/97,5472.6,271821,3.7,7.9,7000
358,3/31/97,5473.4,272083,3.8,8.3,6873
359,4/30/97,5474.4,272342,4,8,6655
360,5/31/97,5506.1,272622,3.9,8,6799
361,6/30/97,5565,272912,3.3,8.3,6655
362,7/31/97,5596.7,273237,3.3,7.8,6608
363,8/31/97,5607.6,273553,3.6,8.2,6656
364,9/30/97,5639.2,273852,3.5,7.7,6454
365,10/31/97,5666.1,274126,3.7,7.6,6308
366,11/30/97,5694,274372,3.8,7.5,6476
367,12/31/97,5698.7,274626,4.6,7.4,6368
368,1/31/98,5736.6,274838,4.6,7,6306
369,2/28/98,5764.8,275047,4.7,6.8,6422
370,3/31/98,5788.9,275304,4.7,6.7,5941
371,4/30/98,5842.9,275564,4.4,6,6047
372,5/31/98,5870.8,275836,4.4,6.9,6212
373,6/30/98,5887.4,276115,4.5,6.7,6259
374,7/31/98,5928.8,276418,4.3,6.8,6179
375,8/31/98,5956.3,276714,4.2,6.7,6300
376,9/30/98,5995.2,277003,3.9,5.8,6280
377,10/31/98,6018.5,277277,4,6.6,6100
378,11/30/98,6064.8,277526,3.5,6.8,6032
379,12/31/98,6067.4,277790,4,6.9,5976
380,1/31/99,6099.7,277992,3.7,6.8,6111
381,2/28/99,6138,278198,3.3,6.8,5783
382,3/31/99,6202.5,278451,2.5,6.2,6004
383,4/30/99,6245.1,278717,2.1,6.5,5796
384,5/31/99,6264.1,279001,2.1,6.3,5951
385,6/30/99,6297.3,279295,1.9,5.8,6025
386,7/31/99,6338.6,279602,1.8,6.5,5838
387,8/31/99,6375.7,279903,1.4,6,5915
388,9/30/99,6396.7,280203,2,6.1,5778
389,10/31/99,6433.2,280471,2.1,6.2,5716
390,11/30/99,6531.3,280716,1.6,5.8,5653
391,12/31/99,6538,280976,2.9,5.8,5708
392,1/31/00,6618.5,281190,2.4,6.1,5858
393,2/29/00,6685.3,281409,2,6,5733
394,3/31/00,6664.2,281653,2.4,6.1,5481
395,4/30/00,6688,281891,2.4,5.8,5758
396,5/31/00,6712.1,282156,2.5,5.7,5651
397,6/30/00,6745.8,282430,2.9,6,5747
398,7/31/00,6766.7,282706,2.8,6.3,5853
399,8/31/00,6839.3,282994,2.2,5.2,5625
400,9/30/00,6846.2,283271,2.3,6.1,5534
401,10/31/00,6860.2,283531,2.1,6.1,5639
402,11/30/00,6908.5,283782,1.5,6,5634
403,12/31/00,6938.2,284015,1.9,5.8,6023
404,1/31/01,6969.2,284240,1.7,6.1,6089
405,2/28/01,6960.1,284462,2,6.6,6141
406,3/31/01,6978.5,284701,1.6,5.9,6271
407,4/30/01,7029.1,284938,1,6.3,6226
408,5/31/01,7045,285198,1.1,6,6484
409,6/30/01,7064.1,285454,2.4,6.8,6583
410,7/31/01,7098.6,285730,3.7,6.9,7042
411,8/31/01,7012.7,286017,4.2,7.2,7142
412,9/30/01,7222,286287,-0.2,7.3,7694
413,10/31/01,7177.2,286545,0.7,7.7,8003
414,11/30/01,7165.9,286788,1.1,8.2,8258
415,12/31/01,7196.5,287021,2.9,8.4,8182
416,1/31/02,7242,287242,2.8,8.3,8215
417,2/28/02,7252.3,287453,3,8.4,8304
418,3/31/02,7330.2,287675,2.6,8.9,8599
419,4/30/02,7296.2,287916,3.1,9.5,8399
420,5/31/02,7342.6,288171,2.8,11,8393
421,6/30/02,7396.4,288427,1.9,8.9,8390
422,7/31/02,7411,288694,1.7,9,8304
423,8/31/02,7382.3,288965,2.2,9.5,8251
424,9/30/02,7414.3,289229,2,9.6,8307
425,10/31/02,7443.6,289477,1.8,9.3,8520
426,11/30/02,7501.3,289696,1.5,9.6,8640
427,12/31/02,7522.1,289913,1.8,9.6,8523
428,1/31/03,7532.8,290122,2,9.5,8622
429,2/28/03,7589.5,290331,1.7,9.7,8576
430,3/31/03,7597.2,290557,2,10.2,8833
431,4/30/03,7619.2,290791,2.3,9.9,8948
432,5/31/03,7668.8,291041,2.1,11.5,9254
433,6/30/03,7723.3,291289,2.8,10.3,9018
434,7/31/03,7820.9,291552,2.5,10.1,8894
435,8/31/03,7803.7,291811,1.7,10.2,8928
436,9/30/03,7812.3,292074,2.1,10.4,8731
437,10/31/03,7868.5,292318,2.2,10.3,8590
438,11/30/03,7885.3,292529,2.4,10.4,8338
439,12/31/03,7977.7,292723,2.1,10.6,8367
440,1/31/04,8005.9,292909,2.3,10.2,8171
441,2/29/04,8070.5,293112,2,10.2,8452
442,3/31/04,8086.6,293340,2.2,9.5,8155
443,4/30/04,8196.5,293569,1.5,9.9,8197
444,5/31/04,8161.3,293805,2.1,10.9,8259
445,6/30/04,8235.3,294056,1.7,8.9,8163
446,7/31/04,8246.1,294323,2,9.3,7993
447,8/31/04,8313.7,294587,1.2,9.6,7953
448,9/30/04,8371.6,294857,1.4,9.5,8052
449,10/31/04,8410.8,295105,1.2,9.7,7950
450,11/30/04,8462,295344,4.3,9.4,7997
451,12/31/04,8469.4,295576,0.9,9.4,7756
452,1/31/05,8520.7,295767,0.6,9.1,7966
453,2/28/05,8569,295975,0.2,9.2,7683
454,3/31/05,8654.4,296209,-0.4,9,7657
455,4/30/05,8644.6,296443,-0.1,9.1,7656
456,5/31/05,8724.8,296684,-0.5,9.2,7507
457,6/30/05,8833.9,296940,-0.9,9,7464
458,7/31/05,8825.5,297207,-3,9.2,7360
459,8/31/05,8882.5,297471,-0.5,8.5,7606
460,9/30/05,8911.6,297740,-0.3,8.6,7436
461,10/31/05,8916.4,297988,-0.3,8.4,7548
462,11/30/05,8955.5,298227,-0.3,8.5,7331
463,12/31/05,9034.4,298458,-0.3,8.5,7023
464,1/31/06,9079.2,298645,-0.3,8.9,7158
465,2/28/06,9123.8,298849,-0.4,8.5,7009
466,3/31/06,9175.2,299079,-1,8.5,7098
467,4/30/06,9238.6,299310,-1.6,8.5,7006
468,5/31/06,9270.5,299548,-1.5,7.6,6984
469,6/30/06,9338.9,299801,-1.7,8.2,7228
470,7/31/06,9352.7,300065,-1.5,8.4,7116
471,8/31/06,9348.5,300326,-1,8.1,6912
472,9/30/06,9376,300592,-0.8,8,6715
473,10/31/06,9410.8,300836,-0.9,8.2,6826
474,11/30/06,9478.5,301070,-1.1,7.3,6849
475,12/31/06,9540.3,301296,-0.9,8.1,7017
476,1/31/07,9610.6,301481,-1,8.1,6865
477,2/28/07,9653,301684,-0.7,8.5,6724
478,3/31/07,9705,301913,-1.3,8.7,6801
